ticket_id,api_error_type,error_code,request_method,response_time_ms,retry_count
T005844,Timeout,ERR_PAYLOAD,PUT,835,1
T007285,500 Server Error,ERR_RATE,GET,383,0
T001249,Auth Failure,ERR_RATE,PUT,174,0
T005498,Timeout,ERR_RATE,GET,633,0
T010789,Rate Limit,ERR_500,GET,50,2
T006124,Auth Failure,ERR_PAYLOAD,GET,328,0
T005637,Schema Mismatch,ERR_PAYLOAD,GET,97,0
T010569,Payload Error,ERR_PAYLOAD,GET,240,0
T004575,Payload Error,ERR_SCHEMA,GET,102,1
T000516,Rate Limit,ERR_SCHEMA,GET,259,0
T010689,Timeout,ERR_RATE,DELETE,168,0
T004323,Auth Failure,ERR_TIMEOUT,POST,262,1
T009972,Rate Limit,ERR_SCHEMA,PUT,23,3
T002965,Timeout,ERR_AUTH,GET,0,1
T004266,Auth Failure,ERR_500,POST,458,0
T003246,Rate Limit,ERR_TIMEOUT,GET,96,3
T006647,Payload Error,ERR_RATE,GET,356,0
T007300,Auth Failure,ERR_RATE,PUT,11,0
T001432,Auth Failure,ERR_AUTH,GET,325,0
T006030,500 Server Error,ERR_TIMEOUT,POST,377,0
T008959,Auth Failure,ERR_PAYLOAD,GET,369,0
T005061,Timeout,ERR_SCHEMA,POST,570,2
T006151,500 Server Error,ERR_500,DELETE,596,0
T003977,Auth Failure,ERR_AUTH,POST,67,0
T010295,Schema Mismatch,ERR_PAYLOAD,POST,259,0
T003419,Rate Limit,ERR_SCHEMA,GET,6,1
T005061,Timeout,ERR_RATE,GET,27,0
T008339,500 Server Error,ERR_AUTH,GET,162,0
T000594,Auth Failure,ERR_PAYLOAD,POST,11,2
T009161,Timeout,ERR_TIMEOUT,POST,127,1
T006866,Rate Limit,ERR_RATE,GET,306,0
T004471,Timeout,ERR_SCHEMA,GET,506,0
T009904,Schema Mismatch,ERR_AUTH,PUT,171,3
T001164,500 Server Error,ERR_SCHEMA,GET,199,1
T006499,Auth Failure,ERR_TIMEOUT,PUT,1,0
T000150,500 Server Error,ERR_500,GET,603,1
T007946,Rate Limit,ERR_RATE,POST,1242,0
T007609,Schema Mismatch,ERR_PAYLOAD,DELETE,179,0
T000760,500 Server Error,ERR_AUTH,POST,108,1
T007366,Schema Mismatch,ERR_AUTH,POST,58,0
T005282,Auth Failure,ERR_AUTH,GET,387,0
T002468,Payload Error,ERR_RATE,GET,158,0
T006408,Auth Failure,ERR_AUTH,GET,123,2
T004426,Auth Failure,ERR_RATE,GET,267,0
T000347,Timeout,ERR_PAYLOAD,GET,500,2
T008144,Payload Error,ERR_RATE,GET,370,0
T001499,Schema Mismatch,ERR_SCHEMA,GET,499,1
T008856,Timeout,ERR_RATE,GET,227,0
T008005,Payload Error,ERR_RATE,GET,257,0
T001569,Schema Mismatch,ERR_RATE,GET,3,2
T009757,Rate Limit,ERR_AUTH,POST,168,1
T000954,Timeout,ERR_500,POST,487,0
T002941,Schema Mismatch,ERR_RATE,PUT,290,0
T007400,Schema Mismatch,ERR_RATE,GET,352,1
T002797,Timeout,ERR_AUTH,GET,48,0
T005777,Schema Mismatch,ERR_AUTH,GET,736,2
T007303,Auth Failure,ERR_RATE,GET,414,2
T003440,Auth Failure,ERR_SCHEMA,GET,683,0
T003987,Rate Limit,ERR_500,GET,102,1
T008620,Auth Failure,ERR_500,PUT,263,2
T008851,Timeout,ERR_AUTH,POST,488,0
T003246,500 Server Error,ERR_TIMEOUT,POST,161,0
T000936,500 Server Error,ERR_500,PUT,124,0
T002840,Rate Limit,ERR_SCHEMA,GET,155,1
T005361,Auth Failure,ERR_TIMEOUT,POST,303,3
T001746,500 Server Error,ERR_RATE,GET,138,0
T006958,Schema Mismatch,ERR_AUTH,POST,74,3
T009812,Schema Mismatch,ERR_SCHEMA,GET,212,0
T003338,Rate Limit,ERR_PAYLOAD,GET,21,1
T010496,Payload Error,ERR_TIMEOUT,POST,705,1
T001462,Timeout,ERR_TIMEOUT,POST,810,0
T002518,Auth Failure,ERR_TIMEOUT,POST,1244,0
T003440,Schema Mismatch,ERR_AUTH,GET,424,0
T010257,Rate Limit,ERR_AUTH,GET,486,2
T006446,Rate Limit,ERR_PAYLOAD,GET,547,1
T002956,Timeout,ERR_PAYLOAD,POST,57,1
T007590,Rate Limit,ERR_RATE,GET,68,0
T003571,Timeout,ERR_PAYLOAD,GET,514,0
T005244,500 Server Error,ERR_500,PUT,161,0
T010323,Payload Error,ERR_SCHEMA,GET,470,0
T000750,500 Server Error,ERR_SCHEMA,PUT,46,0
T006349,Timeout,ERR_500,GET,15,2
T002216,Rate Limit,ERR_TIMEOUT,GET,151,1
T007233,Auth Failure,ERR_AUTH,GET,95,0
T008420,Auth Failure,ERR_SCHEMA,PUT,500,0
T000013,500 Server Error,ERR_PAYLOAD,POST,746,1
T005854,Rate Limit,ERR_500,POST,318,3
T001835,Payload Error,ERR_AUTH,GET,33,3
T001664,Auth Failure,ERR_PAYLOAD,DELETE,4,1
T007894,Rate Limit,ERR_RATE,GET,452,0
T006521,Auth Failure,ERR_500,GET,615,0
T001720,Auth Failure,ERR_PAYLOAD,GET,885,0
T002844,500 Server Error,ERR_AUTH,POST,379,0
T010815,Auth Failure,ERR_TIMEOUT,POST,9,2
T003462,Schema Mismatch,ERR_PAYLOAD,POST,195,1
T007336,Payload Error,ERR_PAYLOAD,PUT,202,0
T002125,Timeout,ERR_RATE,POST,13,0
T005997,Timeout,ERR_500,GET,725,0
T006074,500 Server Error,ERR_AUTH,GET,433,2
T006174,Timeout,ERR_SCHEMA,POST,68,0
T007471,Timeout,ERR_TIMEOUT,GET,316,0
T009972,Rate Limit,ERR_RATE,GET,502,3
T002199,Timeout,ERR_500,POST,577,0
T006198,Timeout,ERR_PAYLOAD,POST,607,2
T001484,500 Server Error,ERR_SCHEMA,POST,460,0
T007749,Auth Failure,ERR_RATE,GET,289,0
T006497,Schema Mismatch,ERR_RATE,POST,27,0
T005563,Auth Failure,ERR_TIMEOUT,POST,90,1
T002298,Timeout,ERR_TIMEOUT,GET,228,0
T004532,Rate Limit,ERR_PAYLOAD,GET,137,3
T004995,Rate Limit,ERR_TIMEOUT,GET,372,0
T000808,Timeout,ERR_AUTH,POST,37,1
T007325,Rate Limit,ERR_RATE,GET,861,2
T008879,500 Server Error,ERR_AUTH,GET,124,0
T003636,Timeout,ERR_TIMEOUT,GET,218,0
T005371,Auth Failure,ERR_AUTH,POST,122,0
T008582,Timeout,ERR_SCHEMA,POST,480,0
T007561,Timeout,ERR_RATE,PUT,50,0
T010161,Auth Failure,ERR_TIMEOUT,PUT,131,0
T007456,500 Server Error,ERR_TIMEOUT,POST,286,1
T008798,Rate Limit,ERR_TIMEOUT,PUT,14,0
T009928,Timeout,ERR_PAYLOAD,GET,283,1
T006815,Timeout,ERR_RATE,GET,357,0
T008851,Rate Limit,ERR_AUTH,GET,901,1
T001586,Schema Mismatch,ERR_SCHEMA,GET,1110,0
T001933,Auth Failure,ERR_SCHEMA,POST,90,0
T008551,Timeout,ERR_500,GET,331,3
T000881,Payload Error,ERR_SCHEMA,POST,26,1
T009662,Auth Failure,ERR_500,GET,383,3
T002507,Timeout,ERR_SCHEMA,GET,121,1
T006826,Schema Mismatch,ERR_500,GET,71,0
T002556,Timeout,ERR_PAYLOAD,GET,5,1
T000527,Auth Failure,ERR_SCHEMA,GET,223,1
T001761,Timeout,ERR_TIMEOUT,POST,59,1
T004393,Schema Mismatch,ERR_RATE,GET,260,1
T002796,500 Server Error,ERR_SCHEMA,POST,214,0
T004807,500 Server Error,ERR_SCHEMA,GET,289,0
T001277,Timeout,ERR_RATE,PUT,84,1
T002136,500 Server Error,ERR_TIMEOUT,POST,37,0
T007716,Rate Limit,ERR_500,POST,458,1
T005972,Rate Limit,ERR_AUTH,POST,1422,0
T004566,Rate Limit,ERR_RATE,POST,143,0
T004190,Rate Limit,ERR_TIMEOUT,GET,146,3
T006879,Timeout,ERR_500,GET,602,0
T000550,Rate Limit,ERR_PAYLOAD,POST,57,1
T003306,Rate Limit,ERR_PAYLOAD,DELETE,127,1
T000640,Auth Failure,ERR_500,GET,98,0
T007096,Rate Limit,ERR_500,POST,40,1
T001592,Auth Failure,ERR_500,DELETE,235,0
T004108,Timeout,ERR_TIMEOUT,POST,295,0
T009368,Timeout,ERR_AUTH,PUT,632,1
T005333,Timeout,ERR_AUTH,POST,313,0
T001929,500 Server Error,ERR_AUTH,GET,15,0
T002820,500 Server Error,ERR_TIMEOUT,POST,15,0
T004563,500 Server Error,ERR_PAYLOAD,PUT,18,0
T003464,Timeout,ERR_SCHEMA,POST,87,0
T002570,Rate Limit,ERR_TIMEOUT,PUT,86,0
T002150,Timeout,ERR_TIMEOUT,DELETE,448,0
T004844,Timeout,ERR_TIMEOUT,POST,15,0
T010729,Timeout,ERR_500,PUT,282,1
T009597,Timeout,ERR_500,GET,272,0
T006460,Timeout,ERR_PAYLOAD,GET,215,1
T003290,Timeout,ERR_RATE,GET,6,2
T004789,500 Server Error,ERR_AUTH,GET,523,0
T006920,Rate Limit,ERR_PAYLOAD,GET,142,1
T001311,Schema Mismatch,ERR_PAYLOAD,GET,178,3
T005209,Rate Limit,ERR_SCHEMA,GET,332,1
T010571,Schema Mismatch,ERR_RATE,PUT,326,0
T000347,Auth Failure,ERR_500,GET,97,0
T001428,Auth Failure,ERR_RATE,GET,3,0
T008445,Rate Limit,ERR_RATE,GET,491,1
T009267,Rate Limit,ERR_PAYLOAD,POST,423,0
T000586,Timeout,ERR_PAYLOAD,GET,307,0
T007012,Rate Limit,ERR_TIMEOUT,GET,819,2
T000160,Auth Failure,ERR_AUTH,POST,68,1
T004487,Timeout,ERR_PAYLOAD,POST,32,0
T009202,500 Server Error,ERR_SCHEMA,GET,2036,0
T010604,500 Server Error,ERR_PAYLOAD,GET,608,0
T002916,Rate Limit,ERR_RATE,POST,12,0
T009093,Auth Failure,ERR_SCHEMA,PUT,120,0
T003861,Auth Failure,ERR_PAYLOAD,POST,218,0
T007970,Timeout,ERR_500,POST,296,0
T008860,Rate Limit,ERR_SCHEMA,GET,161,0
T009971,500 Server Error,ERR_PAYLOAD,GET,27,2
T007361,Timeout,ERR_TIMEOUT,POST,192,0
T005080,Auth Failure,ERR_RATE,GET,237,1
T001761,Auth Failure,ERR_PAYLOAD,DELETE,113,1
T010735,500 Server Error,ERR_PAYLOAD,GET,51,0
T009996,Timeout,ERR_PAYLOAD,PUT,218,0
T009673,Auth Failure,ERR_SCHEMA,GET,97,1
T010146,Rate Limit,ERR_SCHEMA,PUT,81,3
T000629,Schema Mismatch,ERR_SCHEMA,GET,386,0
T008831,500 Server Error,ERR_RATE,GET,245,0
T000401,500 Server Error,ERR_PAYLOAD,GET,407,0
T008582,Timeout,ERR_PAYLOAD,GET,178,0
T006693,Auth Failure,ERR_SCHEMA,PUT,24,0
T002126,Auth Failure,ERR_SCHEMA,GET,203,1
T002644,500 Server Error,ERR_RATE,DELETE,271,0
T002075,Timeout,ERR_RATE,PUT,449,1
T006739,Auth Failure,ERR_AUTH,POST,262,0
T009482,500 Server Error,ERR_500,POST,476,1
T002751,Timeout,ERR_TIMEOUT,PUT,215,0
T004480,Schema Mismatch,ERR_500,GET,284,0
T004889,Schema Mismatch,ERR_AUTH,PUT,6,0
T000343,Schema Mismatch,ERR_SCHEMA,GET,593,0
T002764,Rate Limit,ERR_RATE,POST,54,1
T007677,Timeout,ERR_SCHEMA,POST,403,1
T008273,500 Server Error,ERR_500,PUT,176,2
T006765,Payload Error,ERR_500,GET,668,1
T007422,Timeout,ERR_TIMEOUT,GET,108,0
T005718,Auth Failure,ERR_RATE,PUT,1072,3
T000363,Rate Limit,ERR_SCHEMA,GET,399,1
T009929,500 Server Error,ERR_AUTH,POST,286,0
T003556,Rate Limit,ERR_500,POST,848,1
T008476,Timeout,ERR_SCHEMA,PUT,232,1
T006383,Rate Limit,ERR_SCHEMA,GET,135,0
T000028,Timeout,ERR_SCHEMA,GET,356,3
T008051,Timeout,ERR_RATE,POST,83,1
T006784,Timeout,ERR_RATE,PUT,221,0
T006539,Schema Mismatch,ERR_AUTH,POST,674,0
T010470,500 Server Error,ERR_500,GET,174,0
T003861,Rate Limit,ERR_500,GET,165,0
T003419,500 Server Error,ERR_TIMEOUT,GET,123,0
T008273,Timeout,ERR_TIMEOUT,GET,320,0
T007097,Auth Failure,ERR_AUTH,POST,93,0
T010709,Schema Mismatch,ERR_TIMEOUT,POST,494,1
T007300,500 Server Error,ERR_500,GET,299,2
T005117,Payload Error,ERR_AUTH,POST,951,0
T000383,Schema Mismatch,ERR_500,GET,767,1
T001943,Rate Limit,ERR_500,POST,114,0
T007846,Rate Limit,ERR_RATE,POST,519,0
T004009,Auth Failure,ERR_TIMEOUT,GET,16,0
T006260,Payload Error,ERR_500,POST,118,0
T010667,Rate Limit,ERR_SCHEMA,GET,442,3
T003790,500 Server Error,ERR_SCHEMA,GET,22,0
T002935,Rate Limit,ERR_RATE,GET,272,1
T006739,Rate Limit,ERR_PAYLOAD,GET,426,1
T001718,Timeout,ERR_AUTH,POST,368,1
T000347,500 Server Error,ERR_TIMEOUT,POST,448,0
T010608,Timeout,ERR_RATE,GET,53,1
T001694,500 Server Error,ERR_TIMEOUT,POST,114,0
T008041,Schema Mismatch,ERR_RATE,PUT,426,0
T002071,500 Server Error,ERR_500,GET,265,2
T005451,Timeout,ERR_SCHEMA,GET,27,0
T004532,Auth Failure,ERR_500,GET,771,0
T004265,Timeout,ERR_TIMEOUT,PUT,56,1
T003636,Timeout,ERR_SCHEMA,POST,268,2
T007096,Payload Error,ERR_RATE,GET,69,0
T001281,Timeout,ERR_500,PUT,510,0
T009306,Rate Limit,ERR_500,GET,261,0
T008700,Rate Limit,ERR_TIMEOUT,PUT,158,1
T004679,Schema Mismatch,ERR_TIMEOUT,DELETE,398,2
T004401,500 Server Error,ERR_AUTH,POST,129,0
T009918,500 Server Error,ERR_RATE,GET,0,0
T004838,Rate Limit,ERR_SCHEMA,GET,28,2
T003790,Auth Failure,ERR_SCHEMA,POST,18,0
T006860,Auth Failure,ERR_AUTH,GET,74,0
T003345,500 Server Error,ERR_PAYLOAD,DELETE,723,2
T001865,Auth Failure,ERR_500,DELETE,62,3
T010117,500 Server Error,ERR_SCHEMA,POST,263,0
T006693,Rate Limit,ERR_RATE,PUT,462,3
T007428,Rate Limit,ERR_SCHEMA,DELETE,402,0
T010542,Auth Failure,ERR_AUTH,POST,119,1
T005490,Timeout,ERR_PAYLOAD,POST,193,1
T002916,Timeout,ERR_TIMEOUT,POST,23,0
T001039,Auth Failure,ERR_PAYLOAD,POST,30,1
T009179,Rate Limit,ERR_RATE,PUT,85,2
T008051,Payload Error,ERR_SCHEMA,GET,48,1
T007764,Payload Error,ERR_SCHEMA,GET,21,0
T000760,500 Server Error,ERR_RATE,GET,90,0
T009401,Timeout,ERR_PAYLOAD,PUT,229,0
T003462,500 Server Error,ERR_AUTH,GET,70,1
T002933,Timeout,ERR_TIMEOUT,GET,99,2
T001173,Auth Failure,ERR_500,POST,520,0
T000822,500 Server Error,ERR_500,GET,417,0
T008304,Auth Failure,ERR_500,POST,9,1
T001211,Rate Limit,ERR_SCHEMA,POST,25,1
T006994,500 Server Error,ERR_500,GET,790,0
T002680,Schema Mismatch,ERR_TIMEOUT,GET,134,0
T009783,Timeout,ERR_SCHEMA,POST,7,1
T002224,Timeout,ERR_SCHEMA,GET,148,1
T008341,Rate Limit,ERR_RATE,PUT,433,3
T007530,Rate Limit,ERR_500,POST,697,0
T001720,Auth Failure,ERR_SCHEMA,POST,361,2
T008084,Rate Limit,ERR_SCHEMA,POST,95,1
T006214,Rate Limit,ERR_SCHEMA,POST,1299,0
T000548,500 Server Error,ERR_RATE,GET,49,0
T002130,Schema Mismatch,ERR_TIMEOUT,DELETE,137,1
T000569,Timeout,ERR_500,PUT,132,2
T009614,Payload Error,ERR_PAYLOAD,GET,203,0
T003987,Rate Limit,ERR_RATE,GET,36,0
T006174,Payload Error,ERR_TIMEOUT,GET,285,0
T000751,Timeout,ERR_TIMEOUT,POST,304,0
T005932,Payload Error,ERR_AUTH,PUT,181,2
T000300,Timeout,ERR_AUTH,GET,31,0
T000464,Schema Mismatch,ERR_SCHEMA,DELETE,429,0
T004926,Auth Failure,ERR_RATE,GET,789,3
T002376,500 Server Error,ERR_500,GET,130,0
T010124,Payload Error,ERR_SCHEMA,POST,80,0
T000897,Schema Mismatch,ERR_AUTH,GET,921,1
T005869,Timeout,ERR_RATE,PUT,44,0
T003290,Rate Limit,ERR_500,GET,195,1
T008966,Timeout,ERR_AUTH,GET,355,0
T006459,Timeout,ERR_RATE,DELETE,13,0
T004791,Auth Failure,ERR_SCHEMA,GET,498,0
T002934,500 Server Error,ERR_TIMEOUT,GET,332,1
T009928,500 Server Error,ERR_RATE,GET,411,1
T004224,Rate Limit,ERR_SCHEMA,GET,70,0
T005990,Rate Limit,ERR_PAYLOAD,PUT,94,0
T005115,Rate Limit,ERR_AUTH,POST,1604,2
T003764,Payload Error,ERR_500,GET,133,1
T009142,Payload Error,ERR_PAYLOAD,GET,7,0
T002672,Auth Failure,ERR_500,GET,131,2
T010306,Timeout,ERR_SCHEMA,DELETE,143,0
T005787,Timeout,ERR_TIMEOUT,POST,646,0
T001255,Timeout,ERR_TIMEOUT,GET,97,0
T008340,500 Server Error,ERR_PAYLOAD,GET,473,0
T009050,Timeout,ERR_SCHEMA,GET,34,1
T006064,Rate Limit,ERR_SCHEMA,GET,214,0
T007378,Rate Limit,ERR_AUTH,GET,156,0
T008420,Payload Error,ERR_TIMEOUT,POST,118,0
T000404,500 Server Error,ERR_PAYLOAD,GET,449,0
T001862,Rate Limit,ERR_500,POST,276,0
T010944,Rate Limit,ERR_PAYLOAD,PUT,903,0
T002752,Rate Limit,ERR_SCHEMA,POST,134,0
T003448,Payload Error,ERR_PAYLOAD,GET,39,2
T004889,Timeout,ERR_SCHEMA,POST,81,0
T005737,Schema Mismatch,ERR_PAYLOAD,POST,344,3
T004918,Rate Limit,ERR_500,PUT,320,0
T003270,Timeout,ERR_AUTH,PUT,298,0
T000338,500 Server Error,ERR_SCHEMA,GET,380,1
T010925,Auth Failure,ERR_AUTH,GET,33,2
T008144,Timeout,ERR_AUTH,PUT,102,0
T000713,Timeout,ERR_SCHEMA,GET,256,2
T001592,Rate Limit,ERR_500,GET,171,1
T009610,Rate Limit,ERR_PAYLOAD,GET,212,0
T004838,Auth Failure,ERR_PAYLOAD,PUT,71,2
T002044,500 Server Error,ERR_TIMEOUT,POST,282,0
T002161,Auth Failure,ERR_AUTH,POST,122,0
T008973,Auth Failure,ERR_SCHEMA,POST,482,2
T003934,Timeout,ERR_SCHEMA,DELETE,265,0
T005052,Rate Limit,ERR_RATE,DELETE,1790,0
T004226,Rate Limit,ERR_SCHEMA,GET,268,0
T005858,Timeout,ERR_PAYLOAD,DELETE,16,2
T010854,Schema Mismatch,ERR_SCHEMA,POST,73,0
T007721,Payload Error,ERR_SCHEMA,POST,87,0
T009499,500 Server Error,ERR_TIMEOUT,GET,7,0
T005006,Timeout,ERR_SCHEMA,DELETE,752,3
T010632,Auth Failure,ERR_AUTH,GET,295,0
T003531,Rate Limit,ERR_AUTH,PUT,501,2
T010736,Schema Mismatch,ERR_AUTH,GET,265,0
T005555,Auth Failure,ERR_RATE,GET,584,0
T008826,500 Server Error,ERR_RATE,POST,295,0
T004612,Rate Limit,ERR_PAYLOAD,PUT,25,0
T003499,Payload Error,ERR_500,PUT,8,2
T007246,Timeout,ERR_SCHEMA,PUT,175,1
T006534,Payload Error,ERR_PAYLOAD,GET,308,0
T007754,500 Server Error,ERR_AUTH,POST,563,0
T004204,Timeout,ERR_SCHEMA,GET,676,0
T004350,500 Server Error,ERR_PAYLOAD,GET,515,0
T009164,Auth Failure,ERR_RATE,POST,33,1
T000820,Timeout,ERR_RATE,GET,422,2
T006763,Auth Failure,ERR_SCHEMA,POST,128,0
T008752,Timeout,ERR_500,POST,584,0
T001094,Auth Failure,ERR_PAYLOAD,POST,523,0
T002491,Schema Mismatch,ERR_PAYLOAD,POST,315,0
T001189,Timeout,ERR_500,GET,741,3
T005396,Auth Failure,ERR_AUTH,GET,234,2
T009552,500 Server Error,ERR_500,GET,82,0
T010913,Schema Mismatch,ERR_500,POST,317,1
T005990,Auth Failure,ERR_500,POST,63,0
T006198,Timeout,ERR_RATE,GET,430,0
T004243,Auth Failure,ERR_500,GET,634,0
T005238,Timeout,ERR_PAYLOAD,GET,328,0
T002253,Schema Mismatch,ERR_SCHEMA,GET,202,0
T007203,Rate Limit,ERR_PAYLOAD,GET,911,0
T002749,500 Server Error,ERR_RATE,DELETE,468,0
T004849,Auth Failure,ERR_RATE,POST,185,1
T001311,Auth Failure,ERR_TIMEOUT,POST,239,1
T004433,Timeout,ERR_AUTH,GET,379,1
T003958,500 Server Error,ERR_SCHEMA,PUT,174,3
T009785,Rate Limit,ERR_RATE,POST,154,2
T007934,Timeout,ERR_SCHEMA,POST,606,0
T001922,500 Server Error,ERR_TIMEOUT,POST,134,0
T010069,Timeout,ERR_SCHEMA,GET,1476,0
T008341,Timeout,ERR_500,GET,124,0
T010108,Payload Error,ERR_TIMEOUT,GET,416,1
T000383,Rate Limit,ERR_TIMEOUT,POST,213,1
T003744,Rate Limit,ERR_TIMEOUT,POST,18,0
T009544,500 Server Error,ERR_TIMEOUT,DELETE,481,1
T005650,Rate Limit,ERR_500,GET,535,0
T010815,Timeout,ERR_AUTH,GET,410,0
T009662,500 Server Error,ERR_PAYLOAD,PUT,762,2
T008069,Payload Error,ERR_TIMEOUT,DELETE,19,0
T004109,Rate Limit,ERR_500,POST,110,0
